Date,Daily Confirmed,Total Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased
16/9/2020 ,97860,5115905,82924,4022038,1140,82645
17/9/2020 ,96787,5212692,87788,4109826,1175,83820
18/9/2020 ,92973,5305665,95515,4205341,1221,85041
19/9/2020 ,92574,5398239,94389,4299730,1149,86190
20/9/2020 ,87395,5485634,92926,4392656,1135,87325
21/9/2020 ,74493,5560127,102070,4494726,1056,88381
22/9/2020 ,83362,5643489,89657,4584383,1085,89466
23/9/2020 ,86703,5730192,87459,4671842,1123,90589
24/9/2020 ,85921,5816113,81142,4752984,1144,91733
25/9/2020 ,85717,5901830,93331,4846315,1093,92826
26/9/2020 ,88759,5990589,92365,4938680,1124,93950
27/9/2020 ,82770,6073359,74691,5013371,1040,94990
28/9/2020 ,69669,6143028,85198,5098569,775,95765
29/9/2020 ,80500,6223528,86150,5184719,1178,96943
30/9/2020 ,86748,6310276,85274,5269993,1179,98122
01/10/2020 ,81784,6392060,78731,5348724,1099,99221
02/10/2020 ,79883,6471943,76339,5425063,1068,100289
03/10/2020 ,75479,6547422,81655,5506718,937,101226
04/10/2020 ,74770,6622192,76713,5583431,903,102129
05/10/2020 ,60130,6682322,75855,5659286,886,103015
06/10/2020 ,71869,6754191,81945,5741231,990,104005
07/10/2020 ,78809,6833000,83209,5824440,963,104968
08/10/2020 ,70797,6903797,78745,5903185,967,105935
09/10/2020 ,73305,6977102,82628,5985813,929,106864
10/10/2020 ,74418,7051520,89024,6074837,921,107785
11/10/2020 ,67789,7119309,71565,6146402,813,108598
12/10/2020 ,54261,7173570,78365,6224767,710,109308
13/10/2020 ,63714,7237284,74080,6298847,727,110035
